♟,グッド（上向き矢印）
♾,天秤座
🥍,台風
🥎,もうやだ～（悲しい顔）
🥏,グッド（上向き矢印）
🥬,蟹座
🥭,グッド（上向き矢印）
🥮,夜
🥯,ぴかぴか（新しい）
🥰,猫
🥳,夜
🥴,眠い(睡眠)
🥵,水瓶座
🥶,蟹座
🥺,むかっ（怒り）
🥼,病院
🥽,黒ハート
🥾,山羊座
🥿,
🦘,ドコモ提供
🦙,ぴかぴか（新しい）
🦚,ガソリンスタンド
🦛,ポイント
🦜,猫
🦝,猫
🦞,蟹座
🦟,犬
🦠,眼鏡
🦡,犬
🦢,ぴかぴか（新しい）
🦰,猫
🦱,ダッシュ（走り出すさま）
🦲,on
🦳,黒ハート
🦴,足
🦵,飛行機
🦶,飛行機
🦷,眼鏡
🦸,グッド（上向き矢印）
🦸‍♀,猫
🦸‍♂,猫
🦹,ガソリンスタンド
🦹‍♀,ガソリンスタンド
🦹‍♂,ガソリンスタンド
🧁,猫
🧂,水瓶座
🧧,ぴかぴか（新しい）
🧨,ゴルフ
🧩,レストラン
🧪,ＮＥＷ
🧫,魚座
🧬,phone to
🧭,グッド（上向き矢印）
🧮,ＣＤ
🧯,揺れるハート
🧰,iモード（枠付き）
🧱,雪
🧲,ＮＥＷ
🧳,手（パー）
🧴,蟹座
🧵,足
🧶,蟹座
🧷,足
🧸,猫
🧹,ぴかぴか（新しい）
🧺,蟹座
🧻,どんっ（衝撃）
🧼,ポイント
🧽,蟹座
🧾,銀行
🧿,猫
🛹,グッド（上向き矢印）
😀,ＮＥＷ
😁,ＮＥＷ
😂,ＮＥＷ
🤣,ＮＥＷ
😃,ＮＥＷ
😄,ＮＥＷ
😅,ＮＥＷ
😆,ぴかぴか（新しい）
😉,ゴルフ
😊,ＮＥＷ
😋,ぴかぴか（新しい）
😎,黒ハート
😍,ＮＥＷ
😘,猫
😗,猫
😙,猫
😚,猫
☺,ペン
🙂,ＮＥＷ
🤗,ＮＥＷ
🤩,ＮＥＷ
🤔,ぴかぴか（新しい）
🤨,がく～（落胆した顔）
😐,ダッシュ（走り出すさま）
😑,耳
😶,蟹座
🙄,イベント
😏,むかっ（怒り）
😣,耳
😥,水瓶座
😮,ぴかぴか（新しい）
🤐,ペン
😯,猫
😪,猫
😫,雪
😴,ゲーム
😌,モバＱ
😛,ぴかぴか（新しい）
😜,もうやだ～（悲しい顔）
😝,ぴかぴか（新しい）
🤤,耳
😒,水瓶座
😓,ぴかぴか（新しい）
😔,ゲーム
😕,耳
🙃,耳
🤑,手（パー）
😲,猫
☹,耳
🙁,耳
😖,耳
😞,耳
😟,がく～（落胆した顔）
😤,演劇
😢,耳
😭,耳
😦,むかっ（怒り）
😧,がく～（落胆した顔）
😨,猫
😩,手（パー）
🤯,耳
😬,ぴかぴか（新しい）
😰,ぴかぴか（新しい）
😱,耳
😳,耳
🤪,かわいい
😵,夜
😡,ぴかぴか（新しい）
😠,メモ
🤬,むかっ（怒り）
😷,黒ハート
🤒,蠍座
🤕,足
🤢,病院
