♟,テニス.png
♾,ひらめき.png
🥍,ポイント.png
🥎,スポーツ.png
🥏,バッド（下向き矢印）.png
🥬,ファーストフード.png
🥭,グッド（上向き矢印）.png
🥮,プレゼント.png
🥯,ファーストフード.png
🥰,ちっ（怒った顔）.png
🥳,プレゼント.png
🥴,喫茶店.png
🥵,雪.png
🥶,るんるん.png
🥺,ちっ（怒った顔）.png
🥼,病院.png
🥽,眼鏡.png
🥾,スキー.png
🥿,.png
🦘,モータースポーツ.png
🦙,カチンコ.png
🦚,ハートたち（複数ハート）.png
🦛,ハートたち（複数ハート）.png
🦜,猫.png
🦝,猫.png
🦞,猫.png
🦟,パスワード.png
🦠,三日月.png
🦡,犬.png
🦢,どんっ（衝撃）.png
🦰,かわいい.png
🦱,バッド（下向き矢印）.png
🦲,牡牛座.png
🦳,黒ハート.png
🦴,足.png
🦵,パンチ.png
🦶,パンチ.png
🦷,足.png
🦸,バッド（下向き矢印）.png
🦸‍♀,映画.png
🦸‍♂,映画.png
🦹,バッド（下向き矢印）.png
🦹‍♀,バッド（下向き矢印）.png
🦹‍♂,バッド（下向き矢印）.png
🧁,ビール.png
🧂,ビール.png
🧧,プレゼント.png
🧨,爆弾.png
🧩,ペン.png
🧪,サーチ（調べる）.png
🧫,犬.png
🧬,ID.png
🧭,テニス.png
🧮,牡牛座.png
🧯,爆弾.png
🧰,phone to.png
🧱,ぴかぴか（新しい）.png
🧲,サーチ（調べる）.png
🧳,カバン.png
🧴,ビール.png
🧵,リボン.png
🧶,キスマーク.png
🧷,リボン.png
🧸,カバン.png
🧹,くつ.png
🧺,くつ.png
🧻,牡牛座.png
🧼,バー.png
🧽,リボン.png
🧾,コンビニ.png
🧿,カバン.png
🛹,ゴルフ.png
😀,バースデー.png
😁,バースデー.png
😂,バースデー.png
🤣,バースデー.png
😃,バースデー.png
😄,バースデー.png
😅,バースデー.png
😆,るんるん.png
😉,ハートたち（複数ハート）.png
😊,バースデー.png
😋,かわいい.png
😎,シャープダイヤル.png
😍,バースデー.png
😘,失恋.png
😗,失恋.png
😙,失恋.png
😚,失恋.png
☺,グッド（上向き矢印）.png
🙂,バースデー.png
🤗,バースデー.png
🤩,バースデー.png
🤔,どんっ（衝撃）.png
🤨,耳.png
😐,シャープダイヤル.png
😑,シャープダイヤル.png
😶,ちっ（怒った顔）.png
🙄,三日月.png
😏,かわいい.png
😣,ふらふら.png
😥,雪.png
😮,どんっ（衝撃）.png
🤐,ハートたち（複数ハート）.png
😯,かわいい.png
😪,ふらふら.png
😫,ふらふら.png
😴,牡牛座.png
😌,くつ.png
😛,ちっ（怒った顔）.png
😜,かわいい.png
😝,ちっ（怒った顔）.png
🤤,耳.png
😒,いい気分（温泉）.png
😓,どんっ（衝撃）.png
😔,山羊座.png
😕,失恋.png
🙃,耳.png
🤑,カバン.png
😲,かわいい.png
☹,耳.png
🙁,耳.png
😖,失恋.png
😞,失恋.png
😟,失恋.png
😤,牡牛座.png
😢,失恋.png
😭,失恋.png
😦,かわいい.png
😧,失恋.png
😨,かわいい.png
😩,ふらふら.png
🤯,失恋.png
😬,るんるん.png
😰,どんっ（衝撃）.png
😱,失恋.png
😳,失恋.png
🤪,かわいい.png
😵,ふらふら.png
😡,どんっ（衝撃）.png
😠,どんっ（衝撃）.png
🤬,かわいい.png
😷,眼鏡.png
🤒,山羊座.png
🤕,失恋.png
🤢,失恋.png
🤮,どんっ（衝撃）.png
🤧,曇り.png
😇,バースデー.png
🤠,グッド（上向き矢印）.png
🤡,ハートたち（複数ハート）.png
🤥,かわいい.png
🤫,どんっ（衝撃）.png
🤭,牡牛座.png
🧐,眼鏡.png
🤓,かわいい.png
😈,バースデー.png
👿,どんっ（衝撃）.png
👹,るんるん.png
👺,どんっ（衝撃）.png
💀,ハートたち（複数ハート）.png
☠,ハートたち（複数ハート）.png
👻,かわいい.png
👽,飛行機.png
👾,ダッシュ（走り出すさま）.png
🤖,猫.png
💩,どんっ（衝撃）.png
😺,バースデー.png
😸,バースデー.png
😹,バースデー.png
😻,バースデー.png
😼,かわいい.png
😽,失恋.png
🙀,失恋.png
😿,失恋.png
😾,どんっ（衝撃）.png
🙈,満月.png
🙉,満月.png
🙊,満月.png
👶,バー.png
🧒,犬.png
👦,犬.png
👧,猫.png
🧑,かわいい.png
👨,かわいい.png
👩,かわいい.png
🧓,猫.png
👴,猫.png
👵,猫.png
👨‍⚕,病院.png
👩‍⚕,病院.png
👨‍🎓,双子座.png
👩‍🎓,双子座.png
👨‍🏫,かわいい.png
👩‍🏫,かわいい.png
👨‍⚖,猫.png
👩‍⚖,猫.png
👨‍🌾,猫.png
👩‍🌾,猫.png
👨‍🍳,バー.png
👩‍🍳,バー.png
👨‍🔧,ペン.png
👩‍🔧,ペン.png
👨‍🏭,信号.png
👩‍🏭,猫.png
👨‍💼,美容院.png
👩‍💼,美容院.png
👨‍🔬,猫.png
👩‍🔬,猫.png
👨‍💻,カメラ.png
👩‍💻,カメラ.png
👨‍🎤,音楽.png
👩‍🎤,音楽.png
👨‍🎨,音楽.png
👩‍🎨,音楽.png
👨‍✈,飛行機.png
👩‍✈,猫.png
👨‍🚀,飛行機.png
👩‍🚀,猫.png
👨‍🚒,病院.png
👩‍🚒,猫.png
👮,かわいい.png
👮‍♂,かわいい.png
👮‍♀,かわいい.png
🕵,爆弾.png
🕵‍♂,猫.png
🕵‍♀,猫.png
💂,郵便局.png
💂‍♂,郵便局.png
💂‍♀,猫.png
👷,どんっ（衝撃）.png
👷‍♂,どんっ（衝撃）.png
👷‍♀,どんっ（衝撃）.png
🤴,グッド（上向き矢印）.png
👸,ちっ（怒った顔）.png
👳,リボン.png
👳‍♂,リボン.png
👳‍♀,リボン.png
👲,猫.png
🧕,リボン.png
🧔,リボン.png
👱,リボン.png
👱‍♂,リボン.png
👱‍♀,リボン.png
🤵,リボン.png
👰,猫.png
🤰,猫.png
🤱,ビール.png
👼,グッド（上向き矢印）.png
🎅,クリスマス.png
🤶,クリスマス.png
🧙,猫.png
🧙‍♀,猫.png
🧙‍♂,猫.png
🧚,ハートたち（複数ハート）.png
🧚‍♀,猫.png
🧚‍♂,猫.png
🧛,バッド（下向き矢印）.png
🧛‍♀,バッド（下向き矢印）.png
🧛‍♂,バッド（下向き矢印）.png
🧜,るんるん.png
🧜‍♀,ハートたち（複数ハート）.png
🧜‍♂,るんるん.png
